Time,Win,Door,Cooling,Temp,CO2,VOC,Pressure,Electricity,Presence,Number,Win15,Door15,Cooling15,Time15,Temp_15,Tempfd,Tempfd2,Tempfs,CO2_15,CO2fd,CO2fd2,CO2fs,VOC_15,VOCfd,VOCfd2,VOCfs,Electricity_15,Powerfd,Powerfd2,Powerfs,Presence_15,Number_15
2016/5/13 8:30,0,0,0,24.8,323,461,982.9,8.58,0,0,0,0,0,8,24.79666667,-0.00333333,-0.00333333,-0.00333333,323.6666667,-0.5333333,-2.1333333,1.0666667,459.0666667,-5.3333333,-0.6666666,-10,8.477333333,0.132,0.674666667,-0.410666667,0,0
2016/5/13 8:31,0,0,0,24.8,323,460,983,7.7,0,0,1,0,0,8,24.86,0.06333333,0.06666666,0.06,355.4,31.7333333,32.2666666,31.2,453.1333333,-5.9333334,-0.6000001,-11.2666667,8.462666667,-0.014666666,-0.146666666,0.117333334,1,1
2016/5/13 8:32,0,0,0,24.8,323,460,983,9.9,0,0,1,0,0,9,24.97,0.11,0.04666667,0.17333333,391.8666667,36.4666667,4.7333334,68.2,453.9333333,0.8,6.7333334,-5.1333334,8.594666667,0.132,0.146666666,0.117333334,1,1
2016/5/13 8:33,0,0,0,24.8,319,460,983,7.7,0,0,1,0,0,9,25.03666667,0.06666667,-0.04333333,0.17666667,409.4666667,17.6,-18.8666667,54.0666667,452.2666667,-1.6666666,-2.4666666,-0.8666666,8.404,-0.190666667,-0.322666667,-0.058666667,1,1
2016/5/13 8:34,0,0,0,24.8,319,460,982.9,8.36,0,0,1,0,0,9,25.2,0.16333333,0.09666666,0.23,507.1333333,97.6666666,80.0666666,115.2666666,516,63.7333333,65.3999999,62.0666667,86.65066667,78.24666667,78.43733334,78.056,1,2
2016/5/13 8:35,0,0,0,24.75,325,460,982.9,7.48,0,0,0,0,0,9,25.19666667,-0.00333333,-0.16666666,0.16,532.6666667,25.5333334,-72.1333332,123.2,519.9333333,3.9333333,-59.8,67.6666666,75.35733333,-11.29333334,-89.54000001,66.95333333,1,1
2016/5/13 8:36,0,0,0,24.8,321,461,983,8.36,0,0,0,0,0,10,25.4,0.20333333,0.20666666,0.2,571.0666667,38.4,12.8666666,63.9333334,516.9333333,-3,-6.9333333,0.9333333,58.35866667,-16.99866666,-5.70533332,-28.292,1,1
2016/5/13 8:37,0,0,0,24.8,321,459,983,10.12,0,0,0,0,0,10,25.38,-0.02,-0.22333333,0.18333333,588.9333333,17.8666666,-20.5333334,56.2666666,514,-2.9333333,0.0666667,-5.9333333,49.99866667,-8.36,8.63866666,-25.35866666,0,0
2016/5/13 8:38,0,0,0,24.8,329,459,983,7.26,0,0,0,0,0,10,25.35,-0.03,-0.01,-0.05,544.3333333,-44.6,-62.4666666,-26.7333334,500.6666667,-13.3333333,-10.4,-16.2666666,60.38266667,10.384,18.744,2.024,0,0
2016/5/13 8:39,0,0,0,24.8,327,460,983,8.14,0,0,0,0,0,10,25.35,0,0.03,-0.03,497.9333333,-46.4,-1.8,-91,490.0666667,-10.6,2.7333333,-23.9333333,55.71866667,-4.664,-15.048,5.72,0,0
2016/5/13 8:40,0,0,0,24.8,319,460,983.1,8.58,1,1,0,0,0,11,25.35,0,0,0,475.4666667,-22.4666666,23.9333334,-68.8666666,482.6,-7.4666667,3.1333333,-18.0666667,46.65466667,-9.064,-4.4,-13.728,0,0
2016/5/13 8:41,0,0,0,24.8,329,458,983.1,7.7,1,1,0,0,0,11,25.35,0,0,0,457.6666667,-17.8,4.6666666,-40.2666666,476.5333333,-6.0666667,1.4,-13.5333334,53.47466667,6.82,15.884,-2.244,0,0
